X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
-5.	9.	-33.31065211	-113.1884446	6.735801043e-10
-4.	9.	-26.86716383	-117.3225042	1.244777443e-9
-3.	9.	-20.26288924	-120.5007676	-1.640104095e-9
-2.	9.	-13.55695088	-122.7493966	-5.232621662e-10
-1.	9.	-6.791961539	-124.0895411	-9.480531447e-10
0.	9.	-4.910254133e-9	-124.534714	1.478794902e-9
1.	9.	6.791961527	-124.0895411	1.650359328e-9
2.	9.	13.55695087	-122.7493966	-1.044047504e-9
3.	9.	20.26288923	-120.5007676	2.111694585e-9
4.	9.	26.86716382	-117.3225042	3.312612462e-10
5.	9.	33.31065213	-113.1884446	-5.918401118e-11
6.	9.	39.51125854	-108.0723236	-1.456938586e-9
7.	9.	45.35773335	-101.9562939	2.34974115e-10
8.	9.	50.70597642	-94.84439881	1.290293316e-9
9.	9.	55.38204831	-86.78085634	-4.387141484e-10
10.	9.	59.19688855	-77.86882372	-1.186965835e-9
-10.	10.	-69.03901331	-81.56162585	-4.784790546e-10
-9.	10.	-64.34703515	-91.5194293	8.166428802e-10
-8.	10.	-58.65146336	-100.3988885	-8.862400682e-11
-7.	10.	-52.22450886	-108.1077257	6.824355761e-10
-6.	10.	-45.29791925	-114.6391506	-2.246193344e-11
-5.	10.	-38.04647876	-120.0330627	7.035941012e-10
-4.	10.	-30.59253598	-124.3463691	-1.609156938e-9
-3.	10.	-23.01762306	-127.6358342	-2.013409267e-9
-2.	10.	-15.37406836	-129.9495833	-3.046343994e-9
-1.	10.	-7.694601055	-131.323318	7.307935487e-10
0.	10.	-5.840937912e-9	-131.7787984	1.400803339e-10
1.	10.	7.694601042	-131.323318	-4.809563288e-10
2.	10.	15.37406834	-129.9495834	3.479122348e-10
3.	10.	23.01762305	-127.6358342	-1.095584688e-9
4.	10.	30.592536	-124.346369	4.62916481e-10
5.	10.	38.04647873	-120.0330627	7.858964471e-10
6.	10.	45.29791925	-114.6391506	1.008523137e-9
7.	10.	52.22450886	-108.1077258	1.090863548e-9
8.	10.	58.65146339	-100.3988886	1.14419614e-9
9.	10.	64.34703513	-91.5194293	3.522741146e-10
10.	10.	69.03901333	-81.56162578	1.153152976e-9
